signalID,zoneGroup,zone,corridor,subcorridor,agency,mainStreetName,sideStreetName,milepost,asOf,duplicate,include,modified,note,county,city,latitude,longitude,priority,classification
"1931","Eastern Metro","District 1","SR 141N - EM","","Gwinnett County","PEACHTREE PKWY","ENGINEERING DR","","2020-10-15T00:00:00","","1","2022-05-31T00:00:00","","Gwinnett","Peachtree Corners",33.96201,-84.22656,"Neutral","Progression"
"7273","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / State Bridge Rd / Old Milton Pkwy","State Bridge Way","","2018-03-01T00:00:00","3606","1","2022-05-31T00:00:00","","Fulton","",34.05786,-84.23279,"Neutral","Progression"
"7274","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","Southbridge Pkwy / Parkview Ln","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.05923,-84.23621,"Neutral","Progression"
"7275","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","Park Bridge Pkwy / Alexander Dr","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.06049,-84.24135,"Neutral","Progression"
"7276","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","Brookside Pkwy / Vista Forest Dr","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.06176,-84.24568,"Neutral","Progression"
"7279","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","Cotton Creek / Brookside Pkwy","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.06455,-84.25303,"Neutral","Progression"
"7280","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","North Point Pkwy","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.06766,-84.26136,"High","Progression"
"7281","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","Siemens Dr","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.06849,-84.26448,"Neutral","Progression"
"7282","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","Morris Road","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.06884,-84.26769,"Neutral","Progression"
"7287","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","SR 400 / US 19","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.06874,-84.27275,"High","Progression"
"7288","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","SR 400 NB / US 19","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.06873,-84.271,"High","Progression"
"7289","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","Northwinds / 2nd St","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.06868,-84.27654,"Neutral","Progression"
"7291","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","Amber Park / 3rd Street","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.06882,-84.27895,"Neutral","Progression"
"7293","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","Westside Pkwy","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.06898,-84.28313,"Neutral","Progression"
"7294","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","Post Office","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.07053,-84.29012,"Neutral","Progression"
"7297","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","Haynes Bridge Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.0709,-84.29366,"High","Progression"
"7299","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","SR 120 / Old Milton Pkwy","SR 9 / SR 120/ S Main St","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.07118,-84.2967,"High","Progression"
"7428","Western Metro","District 7","SR 120E","1211203 - Fulton","City of Alpharetta","Old Milton Pkwy","Roswell St","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Fulton","Alpharetta",34.07156,-84.2986,"Neutral","Progression"
"6115009","North","District 6","Broad St (Rome)","5th Ave","City of Rome","5th Ave","Tribune St","","2021-03-01T00:00:00","","1","2022-05-31T00:00:00","","Floyd","Rome",34.25617,-85.17103,"Low","Progression"
"7635","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 19 / US 42 / Old Dixie Rd","I-75 Frontage Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.58655,-84.37835,"High","Progression"
"7636","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 19 / US 41 / Old Dixie Rd","Morrow Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.59093,-84.37704,"Neutral","Progression"
"7637","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 19 / US 41 / Old Dixie Rd","Johnson Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.59812,-84.37845,"Neutral","Progression"
"7638","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 19 / US 41 / Old Dixie Rd","Pineridge Dr","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.6062,-84.38078,"Neutral","Progression"
"7639","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 41 / US 19 / Old Dixie Rd","Penney Road / Cash Memorial Blvd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.60724,-84.38107,"Neutral","Progression"
"7640","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 41 / US 19 / Old Dixie Rd","First St / Barnett Rd / Springdale Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.61536,-84.38323,"Neutral","Progression"
"7641","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 331 / Forest Pkwy","SR 3 / US 41 / US 19 / Old Dixie Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.61987,-84.38329,"Neutral","Progression"
"7642","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 41 / US 19 / Old Dixie Rd","Central Ave / Old Dixie Hwy","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.62381,-84.38423,"High","Progression"
"7643","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 41 / US 19 / Old Dixie Rd","Southpoint Dr","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.62956,-84.38535,"Neutral","Progression"
"7644","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 41 / US 19 / Old Dixie Rd","I-285 EB","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.63117,-84.387,"High","Progression"
"7645","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 41 / US 19 / Old Dixie Rd","I-285 WB","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.6331,-84.38895,"High","Progression"
